Unnamed: 0	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cluster-5219.0	27384.618015542	-13.4596713253656	0.452176390256466	-29.7664177418275	1.06332183036055e-194	9.327459095922759e-191
Cluster-2.16040	3930.42959420546	-8.05485591414263	0.272271810969243	-29.583877543065	2.4091461315691597e-192	1.4088686577416501e-188
Cluster-2.59013	15189.2012750009	-10.5802147799624	0.396966098081618	-26.6526910763727	1.66565663185162e-156	4.87037999153415e-153
Cluster-2.39676	6870.3644627026	-6.64006699083699	0.260075800803763	-25.5312757677411	8.86409110475474e-144	1.94389517927271e-140
Cluster-2.48315	10740.5561899855	-6.25563191909167	0.26022190282701	-24.0396056255506	1.07226203054091e-127	2.09019611820108e-124
Cluster-2.47321	2888.96137451317	-9.92355546016387	0.422308450492321	-23.4983587200188	4.2394148321448897e-122	6.76148125592273e-119
Cluster-2.58739	1935.94755185221	-7.26414571464425	0.311749729440847	-23.3012093632709	4.30984633297962e-120	6.3009953388162e-117
Cluster-2.24787	1560.44629755969	-6.96442273239401	0.304001967084664	-22.9091370663876	3.76733045993649e-116	4.40626970594171e-113
Cluster-11570.0	7468.79866193341	-9.07107563444074	0.407314650411908	-22.2704379164054	7.14991207650775e-110	6.96878097056956e-107
Cluster-2.6613	2772.78824979743	-5.82080200592076	0.263043827174738	-22.1286394303184	1.67556874942955e-108	1.5471672705259e-105
Cluster-2.21447	7700.68266002706	-6.40492508789741	0.293177164461688	-21.8466028882492	8.37348212124099e-106	7.3452185167526e-103
Cluster-2.31170	7340.47998865761	-7.40465553870559	0.344369868484306	-21.5020424733909	1.48984724074318e-102	1.24466095198087e-99
Cluster-11076.1	764.036337848828	-5.80684318299521	0.272452385383423	-21.3132403844555	8.55638064204894e-101	6.823324635641211e-98
Cluster-2.50075	7514.80711461969	-5.9709316690522	0.286057345061101	-20.8731982315532	9.384058277372041e-97	6.85974660075896e-94
Cluster-2.59462	581.251290297994	-6.1006035549263	0.293290478973173	-20.80055096328	4.27865988168057e-96	3.00259235856816e-93
Cluster-6781.0	420.060717336472	-6.87444401248189	0.342681091612165	-20.0607625595583	1.62571751316132e-89	9.5071960169674e-87
Cluster-2.16182	6153.98012404846	-11.5855114668653	0.577980122279571	-20.0448268379398	2.239596695384e-89	1.2278588882442799e-86
Cluster-2.47656	6709.64703425535	-5.26861483601459	0.265480320434706	-19.8455946843351	1.20296863438694e-87	6.395418703540751e-85
Cluster-9175.0	1529.20842985539	-9.47436261003018	0.481455540386248	-19.6785825798772	3.29077708021356e-86	1.6980409733901998e-83
Cluster-2.51387	13504.5908715402	-6.2968961075266	0.3212499235795	-19.6012376823751	1.50908494288615e-85	7.56439606799844e-83
Cluster-2.13079	1299.12114261155	-9.72636304099018	0.499578832519533	-19.4691256071381	2.00667591327253e-84	9.779200617348149e-82
Cluster-2.7482	1838.3517830231	-5.54118485482962	0.287355427378275	-19.2833833186495	7.40695987742837e-83	3.41967642341061e-80
Cluster-2.2527	768.59764874118	-6.96437307847462	0.363768847154	-19.1450508556778	1.06434639885148e-81	4.78792133883345e-79
Cluster-2.47785	31218.4872985263	-8.64355025094646	0.453432009705032	-19.0625056589395	5.17367653415006e-81	2.2691745278782197e-78
Cluster-2.13734	8598.72462861394	-7.2474245378108	0.383798781232939	-18.8833964363532	1.5621021765629898e-79	6.22852740582299e-77
Cluster-5909.0	3328.7171090239	-8.38434094746985	0.44619422289718	-18.7907877718128	8.98358822127346e-79	3.42626242943525e-76
Cluster-2.19515	883.380876423875	-8.11184699037194	0.436254147456948	-18.5943148911208	3.5724803670717096e-77	1.25351191119812e-74
