alfalfa_geneid	alfalfa_1_count	alfalfa_4_count	alfalfa_6_count	clover_2_count	clover_3_count	clover_5_count
Cluster-2.27036	30.192	57.761	60.029	138.769	151.464	139.485
Cluster-2.35134	711.0	803.0	1502.0	756.0	597.0	1096.0
Cluster-2.36746	85.488	86.222	123.961	20.0	0.0	0.0
Cluster-2.35591	20.0	82.447	35.187	97.0	210.0	258.0
Cluster-2.48541	1149.0	1705.0	2460.0	836.0	1197.0	900.0
Cluster-2.41007	2586.954	3031.0	5741.881	4581.203	6744.968	4529.482
Cluster-2.31175	101.0	198.0	206.0	316.769	548.032	509.518
Cluster-2.9610	3.0	2.0	10.0	854.933	1235.1	575.099
Cluster-2.61379	14.0	56.0	34.0	2734.0	3832.0	2968.0
Cluster-2.49778	2098.0	3985.0	4941.0	2734.0	3832.0	2968.0
Cluster-2.30603	433.0	598.0	948.0	532.0	592.0	602.0
Cluster-9541.0	0.0	4.0	14.0	579.362	74.547	303.378
Cluster-2.51661	52099.998	63434.887	100214.969	17893.0	28576.0	21885.0
Cluster-2.34535	313.0	214.248	776.0	7222.624	6384.478	6587.881
Cluster-2.26223	12.0	26.0	40.0	3.0	1.0	4.0
Cluster-2.61602	1260.0	2148.0	3069.0	1874.0	2330.0	2142.0
Cluster-2.4913	309.0	332.0	647.0	361.0	488.0	274.0
Cluster-2.35145	35.376	37.0	87.0	4019.0	2471.0	2048.0
Cluster-2.34855	252.624	251.0	830.856	4019.0	2471.0	2048.0
Cluster-2.47656	315.102	280.277	480.177	11868.0	14590.868	10856.0
Cluster-2.26080	181.0	40.0	178.17	11868.0	14590.868	10856.0
Cluster-2.39948	1722.0	3152.0	4722.0	1811.608	2302.0	2929.0
Cluster-2.40752	7827.673	11469.874	17926.428	16570.0	15754.0	17475.0
Cluster-2.32826	842.0	1240.0	2105.0	1117.0	1102.0	1131.0
Cluster-2.42656	300.0	303.0	612.0	536.0	773.0	459.0
Cluster-2.22813	7574.395	4196.526	13650.589	1.0	8.0	4.0
Cluster-2.59564	2638.085	1715.848	7495.33	330.081	150.356	162.0
Cluster-2.3991	1291.0	992.0	2608.0	245.0	258.0	195.0
Cluster-2.28591	24911.0	32838.0	88002.823	9639.994	11432.0	16173.0
Cluster-2.35842	114.079	85.044	460.895	2.0	0.0	16.0
Cluster-2.29009	19.0	24.0	52.0	0.0	12.0	3.0
Cluster-2.53558	676.0	670.0	1478.0	494.0	592.0	397.0
Cluster-2.30342	435.0	1807.0	1537.0	318.965	818.763	539.54
Cluster-2.49859	276.0	353.0	667.0	373.0	304.0	290.0
Cluster-2.31303	1784.0	1686.0	5364.0	849.283	1036.936	749.0
Cluster-2.53404	674.0	1142.0	1419.0	476.0	660.0	702.763
Cluster-2.43931	2336.0	2670.0	4972.903	1625.03	2696.108	1676.278
Cluster-2.57614	763.0	864.0	1511.0	553.0	634.0	494.0
Cluster-2.49863	57.0	365.0	439.0	10197.898	8168.0	6402.0
Cluster-2.32325	3659.0	3650.0	9123.072	7235.0	9902.0	7236.0
Cluster-2.44269	539.0	849.0	1231.0	424.0	433.0	387.0
Cluster-6914.1	683.0	886.0	1557.0	1157.0	1697.0	1228.0
Cluster-2.10761	4.0	11.0	15.0	639.0	903.0	1016.0
Cluster-2.20314	469.0	922.024	1555.135	760.306	877.307	647.609
Cluster-2.21187	7217.0	9919.0	18684.0	760.306	877.307	647.609
Cluster-2.42230	154.0	252.0	319.0	585.55	759.421	588.017
Cluster-2.24829	160111.506	84174.398	429132.137	317936.0	279707.0	262499.0
Cluster-2.29798	2097.242	1601.989	4668.834	399.0	529.0	1123.687
Cluster-2.23114	2863.784	2141.91	10213.336	2292.948	1385.611	1396.616
Cluster-2.22998	2028.862	2046.238	3044.366	2292.948	1385.611	1396.616
Cluster-2.23546	18502.477	14396.54	45675.889	7.113	7.194	11.902
Cluster-2.4249	3.0	5.0	14.0	39.77	71.396	56.0
Cluster-2.37703	846.0	1764.0	1975.0	237.0	387.0	411.0
Cluster-2.26394	134.0	200.0	536.0	617.0	1326.0	1494.0
Cluster-2.46562	19709.0	47529.971	26954.0	65554.996	129813.997	109157.993
Cluster-2.56721	20.0	47.0	31.061	2643.0	3213.0	2440.0
Cluster-2.30320	662.0	653.0	1307.0	1448.93	2271.948	1392.853
Cluster-2.60441	531.0	781.0	1268.0	1791.455	1775.749	1774.254
Cluster-2.51383	1880.0	1247.0	3662.0	2872.887	2642.384	2957.952
Cluster-2.28273	3175.955	2751.204	8822.276	2197.101	3011.499	1897.299
Cluster-2.3163	430.0	740.0	1035.0	4967.0	6872.0	6125.0
Cluster-2.16728	2997.0	9524.0	15489.0	647.0	921.0	2047.0
Cluster-2.25631	778.0	1367.259	1596.0	718.0	912.0	848.0
Cluster-2.46407	3506.991	4633.0	9257.0	5321.0	6489.981	4530.0
Cluster-2.29030	2600.0	4888.0	5779.0	4521.0	5968.0	4248.0
Cluster-2.27321	8.0	78.0	24.0	11604.601	5976.47	15437.68
Cluster-2.30080	1095.0	1973.0	2450.0	612.896	782.0	725.0
Cluster-2.59749	596.603	1113.191	1331.715	661.0	842.0	723.0
Cluster-2.38131	3901.0	2609.0	9329.431	800.008	361.0	471.0
Cluster-2.38140	2046.998	2800.0	4519.995	3231.0	3705.0	2851.0
Cluster-2.35439	186.0	112.0	621.0	326.0	1160.0	953.0
Cluster-2.28499	187.996	196.403	386.249	3386.05	3325.076	4437.649
Cluster-2.60727	290.0	412.0	607.0	519.0	635.0	582.0
Cluster-2.24190	23.0	55.967	48.587	11.0	14.154	3.0
Cluster-2.26568	16.0	10.033	169.413	0.0	5.0	4.0
Cluster-2.35870	247.432	127.8	347.337	1619.0	987.0	3036.396
Cluster-2.35866	347.518	179.246	1432.727	45.0	27.0	143.0
Cluster-2.36100	6.0	23.0	12.236	61.695	92.059	133.63
Cluster-2.40250	324.804	280.71	549.805	636.0	956.0	884.0
Cluster-2.56159	973.0	1539.0	2322.0	1318.0	1680.0	1546.0
Cluster-2.30514	434.0	204.0	1365.03	36.035	34.045	19.011
Cluster-2.19354	2668.284	3419.829	6296.32	8175.988	9592.0	10128.0
Cluster-2.31335	1133.0	2464.0	3639.005	2882.0	4784.0	5025.0
Cluster-2.18779	3980.0	4252.0	6396.0	2077.0	709.0	2062.0
Cluster-2.40162	2929.0	8201.0	8148.0	6190.0	6740.997	12243.0
Cluster-2.54778	727.0	1110.0	1826.0	930.0	1180.0	1180.0
Cluster-2.39875	2153.262	2034.458	4017.136	2402.0	2087.0	2309.0
Cluster-2.49131	1157.0	2275.0	2960.0	1711.0	1711.0	2398.0
Cluster-2.44555	206.0	358.0	574.0	198.207	280.079	310.177
Cluster-2.60584	912.0	1771.0	1300.0	662.0	1183.0	865.0
Cluster-2.21157	60.0	80.0	138.0	1657.0	460.0	1149.0
Cluster-2.60904	231.0	263.0	462.0	1360.0	1532.0	866.0
Cluster-2.30177	8765.991	5921.0	18986.987	8860.984	7822.0	6094.0
Cluster-2.56974	375.0	491.0	823.0	1070.94	1507.423	1172.379
Cluster-2.55507	99.0	376.0	177.0	144.0	134.0	363.0
Cluster-2.49157	708.0	542.0	1778.0	1412.0	1616.0	1075.0
Cluster-2.32394	397.0	395.0	1233.665	377.0	297.0	372.0
Cluster-2.52094	148.0	153.0	300.0	247.0	257.0	164.0
Cluster-2.54918	237.0	452.0	517.0	401.906	572.0	544.0
Cluster-2.6041	942.0	2324.0	2031.0	1445.0	1734.0	1750.0
Cluster-2.54365	74.0	136.0	199.0	255.0	288.0	275.0
Cluster-2.51382	534.0	651.0	1967.0	502.0	256.0	1067.0
Cluster-2.36820	4688.0	7122.0	9739.0	4558.0	5951.0	5330.0
Cluster-2.50923	391.0	603.0	1071.0	1127.0	1272.0	912.0
Cluster-2.56870	787.0	803.0	2141.0	1478.0	1244.0	1597.0
Cluster-2.22552	818.499	1016.0	1828.34	771.0	932.0	768.0
Cluster-2.52615	157.676	305.296	903.921	6.0	6.0	7.0
Cluster-2.25482	3722.0	5759.821	12169.555	4948.406	5123.0	9467.0
Cluster-7226.0	82.0	132.0	172.0	219.0	315.0	251.0
Cluster-2.43552	109.0	382.221	479.0	67.0	5.0	154.0
Cluster-2.35778	9356.0	21902.0	34101.0	10017.0	6250.0	10390.0
Cluster-2.44953	1725.0	1816.0	3423.0	1273.0	1230.0	1554.0
Cluster-2.1838	111.0	169.0	226.0	196.0	387.0	304.0
Cluster-2.3690	561.0	716.0	1260.0	1340.0	1441.0	1411.0
Cluster-2.40034	6435.0	7416.0	13166.0	5588.973	6263.951	12737.0
Cluster-2.28561	1386.0	2485.0	3051.0	2421.0	2574.672	2422.0
Cluster-2.48179	397.0	333.018	861.0	183.0	222.0	214.0
Cluster-2.60430	844.334	1958.943	1887.385	3292.796	2937.0	3583.0
Cluster-2.3098	5.0	4.0	10.0	1292.0	1042.0	1524.0
Cluster-2.15472	663.0	825.0	1701.0	1292.0	1042.0	1524.0
Cluster-2.57761	316.0	543.0	743.0	233.0	336.0	294.0
Cluster-2.35427	17987.0	14934.0	41310.0	12685.0	14511.0	11105.0
Cluster-2.10605	1583.0	1340.0	2859.0	1250.0	1076.0	1372.0
Cluster-2.2802	2.771	3.0	7.431	492.712	393.395	278.44
Cluster-2.47370	1452.0	2366.0	3026.0	7322.819	7300.0	8316.977
Cluster-13067.0	8.0	1.0	7.0	236.807	280.337	353.982
Cluster-2.40142	1840.0	1831.0	3769.0	1807.0	2000.0	1679.0
Cluster-2.3975	430.0	791.0	762.0	615.0	852.0	739.0
Cluster-2.62505	5324.279	9625.147	11439.752	10281.0	13363.0	10748.0
Cluster-2.59976	345.0	486.0	651.0	132.0	134.0	222.0
Cluster-2.45764	332.0	659.0	844.0	155.0	156.0	304.0
Cluster-2.33568	362.0	352.0	1005.0	835.0	1009.0	680.0
Cluster-2.8930	105.0	154.0	289.0	171.0	183.0	207.0
Cluster-2.9818	113.0	146.0	200.0	283.0	436.0	488.0
Cluster-6048.1	104.0	167.0	245.0	185.0	221.0	173.0
Cluster-2.39166	223.0	709.0	574.0	202.0	307.0	344.0
Cluster-2.57505	161.0	484.0	334.0	211.0	206.0	523.0
Cluster-2.51514	759.0	1144.0	1649.0	812.973	999.0	1019.0
Cluster-2.27905	228.406	258.855	438.938	109.0	79.0	136.0
Cluster-2.29893	10156.0	6739.0	22880.18	4786.192	2993.437	4451.683
Cluster-2.9429	14.0	57.0	50.0	1995.659	3162.472	1770.65
Cluster-2.22576	771.131	1104.0	2002.279	1422.446	2192.083	1506.078
Cluster-2.61143	250.0	359.0	472.29	287.004	321.011	290.999
Cluster-2.26980	7155.0	8566.985	18059.0	6423.0	5526.0	7678.0
Cluster-2.27087	1360.0	1471.0	2417.0	1242.0	1517.0	996.0
Cluster-2.27589	10.0	0.0	57.0	334.145	262.0	245.0
Cluster-9975.0	66.0	117.0	143.0	141.0	399.0	348.0
Cluster-2.34687	440.0	689.0	1037.0	537.0	623.0	525.0
Cluster-2.43402	454.0	735.0	1044.0	7.0	7.0	8.0
Cluster-2.19851	1857.0	609.0	2692.0	114.0	71.0	125.0
Cluster-2.32767	6280.547	7231.403	16107.222	16382.021	19010.626	13962.892
Cluster-2.16420	446.0	900.887	943.642	932.0	974.0	1236.0
Cluster-2.56720	19.0	39.0	23.0	2643.0	3213.0	2440.0
Cluster-2.51498	543.0	943.0	1117.0	682.0	1129.0	1620.0
Cluster-12560.0	132.0	157.0	337.0	255.0	407.0	229.0
Cluster-2.43803	987.0	2511.0	1571.0	313.0	264.0	663.665
Cluster-2.43466	3694.129	6665.407	5850.829	11996.007	12047.789	15798.0
