alfalfa_id	clover_id	log2foldchange	alfalfa_GO	clover_GO	alfalfa_functional_prediction	clover_functional_prediction
Cluster-5219.0	Cluster-3554.16063	-13.4596713253656	None	None	Late_nodulin_protein	Late_nodulin_protein
Cluster-2.16040	Cluster-3554.26183	-8.05485591414263	GO:0005634, GO:0003723, GO:0004004, GO:0005524, GO:0010501	GO:0005634, GO:0003723, GO:0004004, GO:0005524, GO:0010501	Putative RNA helicase	Putative RNA helicase
Cluster-2.59013	Cluster-3554.14386	-10.5802147799624	None	None	None	None
Cluster-2.39676	Cluster-3554.35157	-6.64006699083699	GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0005488,GO:0005507,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005773,GO:0005774,GO:0005829,GO:0005886,GO:0005911,GO:0006950,GO:0008150,GO:0009266,GO:0009409,GO:0009506,GO:0009507,GO:0009536,GO:0009628,GO:0009631,GO:0009719,GO:0009725,GO:0009735,GO:0010033,GO:0016020,GO:0030054,GO:0031090,GO:0031974,GO:0031981,GO:0042221,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046872,GO:0046914,GO:0048046,GO:0050896,GO:0055044,GO:0070013,GO:0071944,GO:0097159,GO:0098588,GO:0098805,GO:1901363	GO:0005622, GO:0003746, GO:0003924, GO:0005525, GO:0006414	Elongation factor	Putative protein-synthesizing GTPase
Cluster-2.48315	Cluster-3554.19967	-6.25563191909167	None	None	None	Putative stress up-regulated Nod 19
Cluster-2.47321	Cluster-3554.26300	-9.92355546016387	None	GO:0000502, GO:0005634, GO:0005737, GO:0043248	None	Putative proteasome maturation factor Ump1
Cluster-2.58739	Cluster-3554.18638	-7.26414571464425	None	None	None	Putative chromatin remodeling & transcriptional activation HMG family
Cluster-2.24787	Cluster-3554.17543	-6.96442273239401	None	GO:0016021, GO:0046872, GO:0009878	None	Putative Late nodulin
Cluster-11570.0	Cluster-3554.41108	-9.07107563444074	None	None	Pentatricopeptide repeat-containing protein	Putative tetratricopeptide-like helical domain-containing protein
Cluster-2.6613	Cluster-3554.24198	-5.82080200592076	GO:0009507, GO:0003723, GO:0006397, GO:0008033, GO:0008380	GO:0009507, GO:0003723, GO:0006397, GO:0008033, GO:0008380	Maturase K	Maturase K
