alfalfa_id	clover_id	log2foldchange	alfalfa_GO	clover_GO	alfalfa_functional_prediction	clover_functional_prediction
Cluster-2.16067	Cluster-11589.0	6.48873001963342	GO:0000271,GO:0000278,GO:0000281,GO:0000910,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0005886,GO:0005911,GO:0005975,GO:0005976,GO:0006073,GO:0006950,GO:0006952,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009506,GO:0009832,GO:0009833,GO:0009834,GO:0009987,GO:0012505,GO:0016020,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016759,GO:0022402,GO:0030054,GO:0030243,GO:0030244,GO:0031410,GO:0031982,GO:0031984,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0046527,GO:0050896,GO:0051273,GO:0051274,GO:0051301,GO:0055044,GO:0061640,GO:0071554,GO:0071669,GO:0071704,GO:0071840,GO:0071944,GO:0097708,GO:0098791,GO:1901576,GO:1903047	GO:0000271,GO:0000278,GO:0000281,GO:0000910,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009507,GO:0009536,GO:0009664,GO:0009832,GO:0009833,GO:0009834,GO:0009987,GO:0010330,GO:0010393,GO:0010395,GO:0010400,GO:0012505,GO:0016020,GO:0016043,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016759,GO:0017144,GO:0022402,GO:0030243,GO:0030244,GO:0032991,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044036,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0045229,GO:0045488,GO:0046527,GO:0051273,GO:0051274,GO:0051301,GO:0052546,GO:0061640,GO:0071554,GO:0071555,GO:0071669,GO:0071704,GO:0071840,GO:0071944,GO:1901576,GO:1902494,GO:1903047,GO:1990234	Belongs to the glycosyltransferase 2 family. Plant cellulose synthase subfamily	Belongs to the glycosyltransferase 2 family. Plant cellulose synthase subfamily
Cluster-2.23546	Cluster-3554.16084	9.99168317735302	GO:0016021, GO:0046872, GO:0009878	None	Putative Late nodulin	None
Cluster-2.29336	Cluster-11526.0	6.01804631773513	GO:0030246	GO:0030246	Putative concanavalin A-like lectin/glucanase domain, legume lectin	Putative concanavalin A-like lectin/glucanase domain, legume lectin
Cluster-2.23928	Cluster-3554.29100	11.8265113233852	GO:0016021, GO:0008889, GO:0006629	GO:0046872, GO:0009878	Late_nodulin_protein	Putative Late nodulin
Cluster-2.24546	Cluster-3554.8180	13.8722299901104	GO:0046872, GO:0009878	GO:0046872, GO:0009878	Putative Late nodulin	Putative Late nodulin
Cluster-2.30541	Cluster-3554.14847	5.23217981787441	GO:0003674,GO:0005198,GO:0005200,GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0005886,GO:0006950,GO:0006970,GO:0006996,GO:0007010,GO:0007017,GO:0008150,GO:0009266,GO:0009409,GO:0009628,GO:0009651,GO:0009987,GO:0015630,GO:0016020,GO:0016043,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044464,GO:0050896,GO:0071840,GO:0071944	GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044464	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Cluster-2.36646	Cluster-3554.6999	11.1966294400492	GO:0016021, GO:0046872, GO:0009878	None	Putative Late nodulin	None
Cluster-2.49923	Cluster-3554.26749	11.1091193626717	None	None	None	None
Cluster-2.59822	Cluster-3554.12660	5.12529736493817	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0009553,GO:0009561,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0022613,GO:0030684,GO:0031974,GO:0031981,GO:0032040,GO:0032501,GO:0032502,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0042274,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0048229,GO:0048856,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:1901360,GO:1990904	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0009553,GO:0009561,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0022613,GO:0030684,GO:0031974,GO:0031981,GO:0032040,GO:0032501,GO:0032502,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0042274,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0048229,GO:0048856,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:1901360,GO:1990904	U3 small nucleolar RNA-associated protein 11	U3 small nucleolar RNA-associated protein 11
Cluster-2.24081	Cluster-3554.10404	11.8000729509921	GO:0016020, GO:0046872, GO:0009878	GO:0016020, GO:0046872, GO:0009878	Putative Late nodulin	Putative Late nodulin
