alfalfa_geneid	alfalfa_1_count	alfalfa_4_count	alfalfa_6_count	clover_2_count	clover_3_count	clover_5_count

Cluster-2.27036	2702	2702	2702	3702	3702	3702
Cluster-2.35134	1232	1232	1232	1479	1479	1479
Cluster-2.36746	797	797	797	324	324	324
Cluster-2.35591	5146	5146	5146	4919	4919	4919
Cluster-2.48541	5430	5430	5430	2747	2747	2747
Cluster-2.41007	8994	8994	8994	7439	7439	7439
Cluster-2.31175	1107	1107	1107	2431	2431	2431
Cluster-2.9610	469	469	469	7356	7356	7356
Cluster-2.61379	568	568	568	4185	4185	4185
Cluster-2.49778	5955	5955	5955	4185	4185	4185
Cluster-2.30603	2470	2470	2470	3281	3281	3281
Cluster-9541.0	465	465	465	1143	1143	1143
Cluster-2.51661	3890	3890	3890	4613	4613	4613
Cluster-2.34535	2022	2022	2022	2385	2385	2385
Cluster-2.26223	1377	1377	1377	363	363	363
Cluster-2.61602	5423	5423	5423	5270	5270	5270
Cluster-2.4913	1221	1221	1221	1398	1398	1398
Cluster-2.35145	1834	1834	1834	2659	2659	2659
Cluster-2.34855	2935	2935	2935	2659	2659	2659
Cluster-2.47656	3268	3268	3268	2891	2891	2891
Cluster-2.26080	478	478	478	2891	2891	2891
Cluster-2.39948	3201	3201	3201	3553	3553	3553
Cluster-2.40752	2232	2232	2232	2212	2212	2212
Cluster-2.32826	2956	2956	2956	2061	2061	2061
Cluster-2.42656	2221	2221	2221	1509	1509	1509
Cluster-2.22813	1997	1997	1997	330	330	330
Cluster-2.59564	8581	8581	8581	955	955	955
Cluster-2.3991	5914	5914	5914	1746	1746	1746
Cluster-2.28591	3129	3129	3129	1667	1667	1667
Cluster-2.35842	4464	4464	4464	470	470	470
Cluster-2.29009	1167	1167	1167	382	382	382
Cluster-2.53558	2753	2753	2753	1987	1987	1987
Cluster-2.30342	5143	5143	5143	3831	3831	3831
Cluster-2.49859	2143	2143	2143	1359	1359	1359
Cluster-2.31303	842	842	842	1887	1887	1887
Cluster-2.53404	2481	2481	2481	2972	2972	2972
Cluster-2.43931	2240	2240	2240	2511	2511	2511
Cluster-2.57614	3060	3060	3060	2337	2337	2337
Cluster-2.49863	3869	3869	3869	3377	3377	3377
Cluster-2.32325	5449	5449	5449	961	961	961
Cluster-2.44269	4711	4711	4711	2032	2032	2032
Cluster-6914.1	1714	1714	1714	2540	2540	2540
Cluster-2.10761	901	901	901	3369	3369	3369
Cluster-2.20314	860	860	860	852	852	852
Cluster-2.21187	3131	3131	3131	852	852	852
Cluster-2.42230	1774	1774	1774	3313	3313	3313
Cluster-2.24829	3799	3799	3799	4836	4836	4836
Cluster-2.29798	4356	4356	4356	8303	8303	8303
Cluster-2.23114	1137	1137	1137	673	673	673
Cluster-2.22998	425	425	425	673	673	673
Cluster-2.23546	1246	1246	1246	443	443	443
Cluster-2.4249	701	701	701	1339	1339	1339
Cluster-2.37703	5170	5170	5170	5116	5116	5116
Cluster-2.26394	2503	2503	2503	2113	2113	2113
Cluster-2.46562	4622	4622	4622	1819	1819	1819
Cluster-2.56721	1196	1196	1196	7242	7242	7242
Cluster-2.30320	4883	4883	4883	2120	2120	2120
Cluster-2.60441	3140	3140	3140	2886	2886	2886
Cluster-2.51383	1930	1930	1930	1046	1046	1046
Cluster-2.28273	1201	1201	1201	779	779	779
Cluster-2.3163	2674	2674	2674	7520	7520	7520
Cluster-2.16728	2748	2748	2748	1012	1012	1012
Cluster-2.25631	8621	8621	8621	8337	8337	8337
Cluster-2.46407	2490	2490	2490	2087	2087	2087
Cluster-2.29030	4916	4916	4916	4553	4553	4553
Cluster-2.27321	2006	2006	2006	12424	12424	12424
Cluster-2.30080	2817	2817	2817	2925	2925	2925
Cluster-2.59749	5512	5512	5512	5077	5077	5077
Cluster-2.38131	3823	3823	3823	1729	1729	1729
Cluster-2.38140	939	939	939	1557	1557	1557
Cluster-2.35439	2887	2887	2887	2227	2227	2227
Cluster-2.28499	2912	2912	2912	2800	2800	2800
Cluster-2.60727	3348	3348	3348	3489	3489	3489
Cluster-2.24190	622	622	622	809	809	809
Cluster-2.26568	2348	2348	2348	313	313	313
Cluster-2.35870	2695	2695	2695	5253	5253	5253
Cluster-2.35866	1313	1313	1313	249	249	249
Cluster-2.36100	1816	1816	1816	5115	5115	5115
Cluster-2.40250	2577	2577	2577	2493	2493	2493
Cluster-2.56159	4865	4865	4865	4960	4960	4960
Cluster-2.30514	2161	2161	2161	1449	1449	1449
Cluster-2.19354	5973	5973	5973	2071	2071	2071
Cluster-2.31335	1678	1678	1678	1561	1561	1561
Cluster-2.18779	5051	5051	5051	3801	3801	3801
Cluster-2.40162	2604	2604	2604	3135	3135	3135
Cluster-2.54778	2517	2517	2517	4467	4467	4467
Cluster-2.39875	4790	4790	4790	3076	3076	3076
Cluster-2.49131	1539	1539	1539	1420	1420	1420
Cluster-2.44555	2724	2724	2724	2895	2895	2895
Cluster-2.60584	2479	2479	2479	5542	5542	5542
Cluster-2.21157	1075	1075	1075	4303	4303	4303
Cluster-2.60904	2230	2230	2230	3922	3922	3922
Cluster-2.30177	2177	2177	2177	3473	3473	3473
Cluster-2.56974	1599	1599	1599	1569	1569	1569
Cluster-2.55507	2004	2004	2004	2011	2011	2011
Cluster-2.49157	2553	2553	2553	1613	1613	1613
Cluster-2.32394	5359	5359	5359	2358	2358	2358
Cluster-2.52094	1630	1630	1630	2388	2388	2388
Cluster-2.54918	3205	3205	3205	2974	2974	2974
Cluster-2.6041	7779	7779	7779	10602	10602	10602
Cluster-2.54365	4033	4033	4033	3553	3553	3553
Cluster-2.51382	3685	3685	3685	3276	3276	3276
Cluster-2.36820	6368	6368	6368	6475	6475	6475
Cluster-2.50923	2593	2593	2593	1532	1532	1532
Cluster-2.56870	1730	1730	1730	1979	1979	1979
Cluster-2.22552	2247	2247	2247	1693	1693	1693
Cluster-2.52615	6268	6268	6268	714	714	714
Cluster-2.25482	19889	19889	19889	12945	12945	12945
Cluster-7226.0	1974	1974	1974	2549	2549	2549
Cluster-2.43552	3796	3796	3796	2442	2442	2442
Cluster-2.35778	1443	1443	1443	1370	1370	1370
Cluster-2.44953	6203	6203	6203	6474	6474	6474
Cluster-2.1838	3667	3667	3667	3578	3578	3578
Cluster-2.3690	1873	1873	1873	955	955	955
Cluster-2.40034	5079	5079	5079	5300	5300	5300
Cluster-2.28561	6813	6813	6813	8499	8499	8499
Cluster-2.48179	4733	4733	4733	1479	1479	1479
Cluster-2.60430	3464	3464	3464	1895	1895	1895
Cluster-2.3098	553	553	553	1580	1580	1580
Cluster-2.15472	2222	2222	2222	1580	1580	1580
Cluster-2.57761	5329	5329	5329	4744	4744	4744
Cluster-2.35427	8062	8062	8062	9084	9084	9084
Cluster-2.10605	1718	1718	1718	1508	1508	1508
Cluster-2.2802	1136	1136	1136	7483	7483	7483
Cluster-2.47370	3936	3936	3936	6684	6684	6684
Cluster-13067.0	620	620	620	9163	9163	9163
Cluster-2.40142	2889	2889	2889	2295	2295	2295
Cluster-2.3975	3908	3908	3908	3495	3495	3495
Cluster-2.62505	4416	4416	4416	4156	4156	4156
Cluster-2.59976	1459	1459	1459	1175	1175	1175
Cluster-2.45764	3719	3719	3719	3595	3595	3595
Cluster-2.33568	3468	3468	3468	2185	2185	2185
Cluster-2.8930	1605	1605	1605	1576	1576	1576
Cluster-2.9818	2773	2773	2773	5409	5409	5409
Cluster-6048.1	1475	1475	1475	1875	1875	1875
Cluster-2.39166	2702	2702	2702	1201	1201	1201
Cluster-2.57505	4068	4068	4068	4386	4386	4386
Cluster-2.51514	2836	2836	2836	2429	2429	2429
Cluster-2.27905	1649	1649	1649	470	470	470
Cluster-2.29893	5112	5112	5112	6518	6518	6518
Cluster-2.9429	2702	2702	2702	10802	10802	10802
Cluster-2.22576	3771	3771	3771	7628	7628	7628
Cluster-2.61143	3128	3128	3128	3170	3170	3170
Cluster-2.26980	2577	2577	2577	3752	3752	3752
Cluster-2.27087	4220	4220	4220	2876	2876	2876
Cluster-2.27589	470	470	470	2608	2608	2608
Cluster-9975.0	1904	1904	1904	2318	2318	2318
Cluster-2.34687	1734	1734	1734	2140	2140	2140
Cluster-2.43402	3015	3015	3015	888	888	888
Cluster-2.19851	2732	2732	2732	1859	1859	1859
Cluster-2.32767	2531	2531	2531	3230	3230	3230
Cluster-2.16420	5158	5158	5158	5147	5147	5147
Cluster-2.56720	1769	1769	1769	7242	7242	7242
Cluster-2.51498	2343	2343	2343	2219	2219	2219
Cluster-12560.0	4464	4464	4464	4168	4168	4168
Cluster-2.43803	2977	2977	2977	1246	1246	1246
Cluster-2.43466	4866	4866	4866	4121	4121	4121
Cluster-2.13398	6295	6295	6295	3434	3434	3434
Cluster-2.46613	2869	2869	2869	2387	2387	2387
Cluster-2.42031	2698	2698	2698	2748	2748	2748
Cluster-2.23445	3298	3298	3298	2049	2049	2049
Cluster-2.60718	1077	1077	1077	580	580	580
Cluster-2.7950	2523	2523	2523	2808	2808	2808
Cluster-2.53189	1328	1328	1328	2512	2512	2512
Cluster-2.17506	2037	2037	2037	2459	2459	2459
Cluster-2.30314	4064	4064	4064	3996	3996	3996
Cluster-2.4253	4129	4129	4129	1765	1765	1765
Cluster-2.7743	1948	1948	1948	4317	4317	4317
Cluster-2.14265	4111	4111	4111	1411	1411	1411
Cluster-2.58925	2362	2362	2362	1956	1956	1956
Cluster-8818.1	1607	1607	1607	1898	1898	1898
Cluster-2.32393	3921	3921	3921	955	955	955
Cluster-2.49683	4508	4508	4508	2226	2226	2226
Cluster-8499.0	1423	1423	1423	1438	1438	1438
Cluster-2.54131	776	776	776	767	767	767
Cluster-2.9613	7815	7815	7815	12561	12561	12561
Cluster-2.377	4713	4713	4713	7245	7245	7245
Cluster-2.43508	5654	5654	5654	3520	3520	3520
Cluster-2.26960	5335	5335	5335	1308	1308	1308
Cluster-2.47735	1892	1892	1892	2053	2053	2053
Cluster-2.35567	2079	2079	2079	2235	2235	2235
Cluster-2.52209	4365	4365	4365	3388	3388	3388
Cluster-2.63474	1967	1967	1967	1890	1890	1890
Cluster-2.60086	2167	2167	2167	2197	2197	2197
Cluster-2.27776	3597	3597	3597	2354	2354	2354
Cluster-11900.2	2351	2351	2351	6829	6829	6829
Cluster-9314.0	1319	1319	1319	1880	1880	1880
Cluster-2.15741	5797	5797	5797	5912	5912	5912
Cluster-2.40731	14069	14069	14069	22036	22036	22036
Cluster-2.41717	4894	4894	4894	3363	3363	3363
Cluster-2.61939	5151	5151	5151	2046	2046	2046
Cluster-2.37584	2868	2868	2868	4145	4145	4145
Cluster-2.38195	1144	1144	1144	1110	1110	1110
Cluster-2.50281	5189	5189	5189	2200	2200	2200
Cluster-2.52718	6122	6122	6122	2884	2884	2884
Cluster-2.38305	20062	20062	20062	23264	23264	23264
Cluster-13053.0	2402	2402	2402	2352	2352	2352
Cluster-7367.5	5767	5767	5767	9756	9756	9756
Cluster-2.28351	411	411	411	1421	1421	1421
Cluster-2.39874	8057	8057	8057	3620	3620	3620
Cluster-2.18032	7237	7237	7237	1723	1723	1723
Cluster-2.43689	1410	1410	1410	2333	2333	2333
Cluster-6550.1	1731	1731	1731	1795	1795	1795
Cluster-2.60728	3500	3500	3500	6472	6472	6472
Cluster-2.35557	2189	2189	2189	3208	3208	3208
Cluster-2.36894	7062	7062	7062	4255	4255	4255
Cluster-2.49090	3138	3138	3138	1682	1682	1682
Cluster-2.7650	6122	6122	6122	1560	1560	1560
Cluster-2.43027	1100	1100	1100	3020	3020	3020
Cluster-2.2782	3906	3906	3906	7170	7170	7170
Cluster-2.15018	1448	1448	1448	1496	1496	1496
Cluster-8224.1	324	324	324	2722	2722	2722
Cluster-8224.0	1321	1321	1321	2722	2722	2722
Cluster-2.26576	2258	2258	2258	2389	2389	2389
Cluster-2.26628	5115	5115	5115	3180	3180	3180
Cluster-10195.7	1403	1403	1403	6336	6336	6336
Cluster-2.29219	1962	1962	1962	1633	1633	1633
Cluster-7251.2	2085	2085	2085	1205	1205	1205
Cluster-2.28135	3886	3886	3886	4363	4363	4363
