alfalfa_geneid	alfalfa_1_count	alfalfa_4_count	alfalfa_6_count	clover_2_count	clover_3_count	clover_5_count

Cluster-2.27036	3202.0	3202.0	3202.0	3202.0	3202.0	3202.0
Cluster-2.35134	1355.5	1355.5	1355.5	1355.5	1355.5	1355.5
Cluster-2.36746	560.5	560.5	560.5	560.5	560.5	560.5
Cluster-2.35591	5032.5	5032.5	5032.5	5032.5	5032.5	5032.5
Cluster-2.48541	4088.5	4088.5	4088.5	4088.5	4088.5	4088.5
Cluster-2.41007	8216.5	8216.5	8216.5	8216.5	8216.5	8216.5
Cluster-2.31175	1769.0	1769.0	1769.0	1769.0	1769.0	1769.0
Cluster-2.9610	3912.5	3912.5	3912.5	3912.5	3912.5	3912.5
Cluster-2.61379	2376.5	2376.5	2376.5	2376.5	2376.5	2376.5
Cluster-2.49778	5070.0	5070.0	5070.0	5070.0	5070.0	5070.0
Cluster-2.30603	2875.5	2875.5	2875.5	2875.5	2875.5	2875.5
Cluster-9541.0	804.0	804.0	804.0	804.0	804.0	804.0
Cluster-2.51661	4251.5	4251.5	4251.5	4251.5	4251.5	4251.5
Cluster-2.34535	2203.5	2203.5	2203.5	2203.5	2203.5	2203.5
Cluster-2.26223	870.0	870.0	870.0	870.0	870.0	870.0
Cluster-2.61602	5346.5	5346.5	5346.5	5346.5	5346.5	5346.5
Cluster-2.4913	1309.5	1309.5	1309.5	1309.5	1309.5	1309.5
Cluster-2.35145	2246.5	2246.5	2246.5	2246.5	2246.5	2246.5
Cluster-2.34855	2797.0	2797.0	2797.0	2797.0	2797.0	2797.0
Cluster-2.47656	3079.5	3079.5	3079.5	3079.5	3079.5	3079.5
Cluster-2.26080	1684.5	1684.5	1684.5	1684.5	1684.5	1684.5
Cluster-2.39948	3377.0	3377.0	3377.0	3377.0	3377.0	3377.0
Cluster-2.40752	2222.0	2222.0	2222.0	2222.0	2222.0	2222.0
Cluster-2.32826	2508.5	2508.5	2508.5	2508.5	2508.5	2508.5
Cluster-2.42656	1865.0	1865.0	1865.0	1865.0	1865.0	1865.0
Cluster-2.22813	1163.5	1163.5	1163.5	1163.5	1163.5	1163.5
Cluster-2.59564	4768.0	4768.0	4768.0	4768.0	4768.0	4768.0
Cluster-2.3991	3830.0	3830.0	3830.0	3830.0	3830.0	3830.0
Cluster-2.28591	2398.0	2398.0	2398.0	2398.0	2398.0	2398.0
Cluster-2.35842	2467.0	2467.0	2467.0	2467.0	2467.0	2467.0
Cluster-2.29009	774.5	774.5	774.5	774.5	774.5	774.5
Cluster-2.53558	2370.0	2370.0	2370.0	2370.0	2370.0	2370.0
Cluster-2.30342	4487.0	4487.0	4487.0	4487.0	4487.0	4487.0
Cluster-2.49859	1751.0	1751.0	1751.0	1751.0	1751.0	1751.0
Cluster-2.31303	1364.5	1364.5	1364.5	1364.5	1364.5	1364.5
Cluster-2.53404	2726.5	2726.5	2726.5	2726.5	2726.5	2726.5
Cluster-2.43931	2375.5	2375.5	2375.5	2375.5	2375.5	2375.5
Cluster-2.57614	2698.5	2698.5	2698.5	2698.5	2698.5	2698.5
Cluster-2.49863	3623.0	3623.0	3623.0	3623.0	3623.0	3623.0
Cluster-2.32325	3205.0	3205.0	3205.0	3205.0	3205.0	3205.0
Cluster-2.44269	3371.5	3371.5	3371.5	3371.5	3371.5	3371.5
Cluster-6914.1	2127.0	2127.0	2127.0	2127.0	2127.0	2127.0
Cluster-2.10761	2135.0	2135.0	2135.0	2135.0	2135.0	2135.0
Cluster-2.20314	856.0	856.0	856.0	856.0	856.0	856.0
Cluster-2.21187	1991.5	1991.5	1991.5	1991.5	1991.5	1991.5
Cluster-2.42230	2543.5	2543.5	2543.5	2543.5	2543.5	2543.5
Cluster-2.24829	4317.5	4317.5	4317.5	4317.5	4317.5	4317.5
Cluster-2.29798	6329.5	6329.5	6329.5	6329.5	6329.5	6329.5
Cluster-2.23114	905.0	905.0	905.0	905.0	905.0	905.0
Cluster-2.22998	549.0	549.0	549.0	549.0	549.0	549.0
Cluster-2.23546	844.5	844.5	844.5	844.5	844.5	844.5
Cluster-2.4249	1020.0	1020.0	1020.0	1020.0	1020.0	1020.0
Cluster-2.37703	5143.0	5143.0	5143.0	5143.0	5143.0	5143.0
Cluster-2.26394	2308.0	2308.0	2308.0	2308.0	2308.0	2308.0
Cluster-2.46562	3220.5	3220.5	3220.5	3220.5	3220.5	3220.5
Cluster-2.56721	4219.0	4219.0	4219.0	4219.0	4219.0	4219.0
Cluster-2.30320	3501.5	3501.5	3501.5	3501.5	3501.5	3501.5
Cluster-2.60441	3013.0	3013.0	3013.0	3013.0	3013.0	3013.0
Cluster-2.51383	1488.0	1488.0	1488.0	1488.0	1488.0	1488.0
Cluster-2.28273	990.0	990.0	990.0	990.0	990.0	990.0
Cluster-2.3163	5097.0	5097.0	5097.0	5097.0	5097.0	5097.0
Cluster-2.16728	1880.0	1880.0	1880.0	1880.0	1880.0	1880.0
Cluster-2.25631	8479.0	8479.0	8479.0	8479.0	8479.0	8479.0
Cluster-2.46407	2288.5	2288.5	2288.5	2288.5	2288.5	2288.5
Cluster-2.29030	4734.5	4734.5	4734.5	4734.5	4734.5	4734.5
Cluster-2.27321	7215.0	7215.0	7215.0	7215.0	7215.0	7215.0
Cluster-2.30080	2871.0	2871.0	2871.0	2871.0	2871.0	2871.0
Cluster-2.59749	5294.5	5294.5	5294.5	5294.5	5294.5	5294.5
Cluster-2.38131	2776.0	2776.0	2776.0	2776.0	2776.0	2776.0
Cluster-2.38140	1248.0	1248.0	1248.0	1248.0	1248.0	1248.0
Cluster-2.35439	2557.0	2557.0	2557.0	2557.0	2557.0	2557.0
Cluster-2.28499	2856.0	2856.0	2856.0	2856.0	2856.0	2856.0
Cluster-2.60727	3418.5	3418.5	3418.5	3418.5	3418.5	3418.5
Cluster-2.24190	715.5	715.5	715.5	715.5	715.5	715.5
Cluster-2.26568	1330.5	1330.5	1330.5	1330.5	1330.5	1330.5
Cluster-2.35870	3974.0	3974.0	3974.0	3974.0	3974.0	3974.0
Cluster-2.35866	781.0	781.0	781.0	781.0	781.0	781.0
Cluster-2.36100	3465.5	3465.5	3465.5	3465.5	3465.5	3465.5
Cluster-2.40250	2535.0	2535.0	2535.0	2535.0	2535.0	2535.0
Cluster-2.56159	4912.5	4912.5	4912.5	4912.5	4912.5	4912.5
Cluster-2.30514	1805.0	1805.0	1805.0	1805.0	1805.0	1805.0
Cluster-2.19354	4022.0	4022.0	4022.0	4022.0	4022.0	4022.0
Cluster-2.31335	1619.5	1619.5	1619.5	1619.5	1619.5	1619.5
Cluster-2.18779	4426.0	4426.0	4426.0	4426.0	4426.0	4426.0
Cluster-2.40162	2869.5	2869.5	2869.5	2869.5	2869.5	2869.5
Cluster-2.54778	3492.0	3492.0	3492.0	3492.0	3492.0	3492.0
Cluster-2.39875	3933.0	3933.0	3933.0	3933.0	3933.0	3933.0
Cluster-2.49131	1479.5	1479.5	1479.5	1479.5	1479.5	1479.5
Cluster-2.44555	2809.5	2809.5	2809.5	2809.5	2809.5	2809.5
Cluster-2.60584	4010.5	4010.5	4010.5	4010.5	4010.5	4010.5
Cluster-2.21157	2689.0	2689.0	2689.0	2689.0	2689.0	2689.0
Cluster-2.60904	3076.0	3076.0	3076.0	3076.0	3076.0	3076.0
Cluster-2.30177	2825.0	2825.0	2825.0	2825.0	2825.0	2825.0
Cluster-2.56974	1584.0	1584.0	1584.0	1584.0	1584.0	1584.0
Cluster-2.55507	2007.5	2007.5	2007.5	2007.5	2007.5	2007.5
Cluster-2.49157	2083.0	2083.0	2083.0	2083.0	2083.0	2083.0
Cluster-2.32394	3858.5	3858.5	3858.5	3858.5	3858.5	3858.5
Cluster-2.52094	2009.0	2009.0	2009.0	2009.0	2009.0	2009.0
Cluster-2.54918	3089.5	3089.5	3089.5	3089.5	3089.5	3089.5
Cluster-2.6041	9190.5	9190.5	9190.5	9190.5	9190.5	9190.5
Cluster-2.54365	3793.0	3793.0	3793.0	3793.0	3793.0	3793.0
Cluster-2.51382	3480.5	3480.5	3480.5	3480.5	3480.5	3480.5
Cluster-2.36820	6421.5	6421.5	6421.5	6421.5	6421.5	6421.5
Cluster-2.50923	2062.5	2062.5	2062.5	2062.5	2062.5	2062.5
Cluster-2.56870	1854.5	1854.5	1854.5	1854.5	1854.5	1854.5
Cluster-2.22552	1970.0	1970.0	1970.0	1970.0	1970.0	1970.0
Cluster-2.52615	3491.0	3491.0	3491.0	3491.0	3491.0	3491.0
Cluster-2.25482	16417.0	16417.0	16417.0	16417.0	16417.0	16417.0
Cluster-7226.0	2261.5	2261.5	2261.5	2261.5	2261.5	2261.5
Cluster-2.43552	3119.0	3119.0	3119.0	3119.0	3119.0	3119.0
Cluster-2.35778	1406.5	1406.5	1406.5	1406.5	1406.5	1406.5
Cluster-2.44953	6338.5	6338.5	6338.5	6338.5	6338.5	6338.5
Cluster-2.1838	3622.5	3622.5	3622.5	3622.5	3622.5	3622.5
Cluster-2.3690	1414.0	1414.0	1414.0	1414.0	1414.0	1414.0
Cluster-2.40034	5189.5	5189.5	5189.5	5189.5	5189.5	5189.5
Cluster-2.28561	7656.0	7656.0	7656.0	7656.0	7656.0	7656.0
Cluster-2.48179	3106.0	3106.0	3106.0	3106.0	3106.0	3106.0
Cluster-2.60430	2679.5	2679.5	2679.5	2679.5	2679.5	2679.5
Cluster-2.3098	1066.5	1066.5	1066.5	1066.5	1066.5	1066.5
Cluster-2.15472	1901.0	1901.0	1901.0	1901.0	1901.0	1901.0
Cluster-2.57761	5036.5	5036.5	5036.5	5036.5	5036.5	5036.5
Cluster-2.35427	8573.0	8573.0	8573.0	8573.0	8573.0	8573.0
Cluster-2.10605	1613.0	1613.0	1613.0	1613.0	1613.0	1613.0
Cluster-2.2802	4309.5	4309.5	4309.5	4309.5	4309.5	4309.5
Cluster-2.47370	5310.0	5310.0	5310.0	5310.0	5310.0	5310.0
Cluster-13067.0	4891.5	4891.5	4891.5	4891.5	4891.5	4891.5
Cluster-2.40142	2592.0	2592.0	2592.0	2592.0	2592.0	2592.0
Cluster-2.3975	3701.5	3701.5	3701.5	3701.5	3701.5	3701.5
Cluster-2.62505	4286.0	4286.0	4286.0	4286.0	4286.0	4286.0
Cluster-2.59976	1317.0	1317.0	1317.0	1317.0	1317.0	1317.0
Cluster-2.45764	3657.0	3657.0	3657.0	3657.0	3657.0	3657.0
Cluster-2.33568	2826.5	2826.5	2826.5	2826.5	2826.5	2826.5
Cluster-2.8930	1590.5	1590.5	1590.5	1590.5	1590.5	1590.5
Cluster-2.9818	4091.0	4091.0	4091.0	4091.0	4091.0	4091.0
Cluster-6048.1	1675.0	1675.0	1675.0	1675.0	1675.0	1675.0
Cluster-2.39166	1951.5	1951.5	1951.5	1951.5	1951.5	1951.5
Cluster-2.57505	4227.0	4227.0	4227.0	4227.0	4227.0	4227.0
Cluster-2.51514	2632.5	2632.5	2632.5	2632.5	2632.5	2632.5
Cluster-2.27905	1059.5	1059.5	1059.5	1059.5	1059.5	1059.5
Cluster-2.29893	5815.0	5815.0	5815.0	5815.0	5815.0	5815.0
Cluster-2.9429	6752.0	6752.0	6752.0	6752.0	6752.0	6752.0
Cluster-2.22576	5699.5	5699.5	5699.5	5699.5	5699.5	5699.5
Cluster-2.61143	3149.0	3149.0	3149.0	3149.0	3149.0	3149.0
Cluster-2.26980	3164.5	3164.5	3164.5	3164.5	3164.5	3164.5
Cluster-2.27087	3548.0	3548.0	3548.0	3548.0	3548.0	3548.0
Cluster-2.27589	1539.0	1539.0	1539.0	1539.0	1539.0	1539.0
Cluster-9975.0	2111.0	2111.0	2111.0	2111.0	2111.0	2111.0
Cluster-2.34687	1937.0	1937.0	1937.0	1937.0	1937.0	1937.0
Cluster-2.43402	1951.5	1951.5	1951.5	1951.5	1951.5	1951.5
