alfalfa_id	clover_id	log2foldchange	alfalfa_GO	clover_GO	alfalfa_functional_prediction	clover_functional_prediction
Cluster-2.22915	Cluster-3554.18763	-4.8324559709319	GO:0003674,GO:0003824,GO:0004478,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0016740,GO:0016765,GO:0044424,GO:0044444,GO:0044464	GO:0003674,GO:0003824,GO:0004478,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0016740,GO:0016765,GO:0044424,GO:0044444,GO:0044464	Catalyzes the formation of S-adenosylmethionine from methionine and ATP	Catalyzes the formation of S-adenosylmethionine from methionine and ATP
Cluster-5219.0	Cluster-3554.16063	-13.4596713253656	None	None	Late_nodulin_protein	Late_nodulin_protein
Cluster-2.16040	Cluster-3554.26183	-8.05485591414263	GO:0005634, GO:0003723, GO:0004004, GO:0005524, GO:0010501	GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0006139,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009987,GO:0010501,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0017151,GO:0019899,GO:0031974,GO:0031981,GO:0034641,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0070013,GO:0070035,GO:0071704,GO:0090304,GO:0140098,GO:1901360	Putative RNA helicase	Belongs to the DEAD box helicase family
Cluster-2.34472	Cluster-3554.30453	-3.72738411414087	None	GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0003824,GO:0003924,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019538,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
Cluster-2.16067	Cluster-11589.0	6.48873001963342	GO:0000271,GO:0000278,GO:0000281,GO:0000910,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0005886,GO:0005911,GO:0005975,GO:0005976,GO:0006073,GO:0006950,GO:0006952,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009506,GO:0009832,GO:0009833,GO:0009834,GO:0009987,GO:0012505,GO:0016020,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016759,GO:0022402,GO:0030054,GO:0030243,GO:0030244,GO:0031410,GO:0031982,GO:0031984,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0046527,GO:0050896,GO:0051273,GO:0051274,GO:0051301,GO:0055044,GO:0061640,GO:0071554,GO:0071669,GO:0071704,GO:0071840,GO:0071944,GO:0097708,GO:0098791,GO:1901576,GO:1903047	GO:0000271,GO:0000278,GO:0000281,GO:0000910,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009507,GO:0009536,GO:0009664,GO:0009832,GO:0009833,GO:0009834,GO:0009987,GO:0010330,GO:0010393,GO:0010395,GO:0010400,GO:0012505,GO:0016020,GO:0016043,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016759,GO:0017144,GO:0022402,GO:0030243,GO:0030244,GO:0032991,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044036,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0045229,GO:0045488,GO:0046527,GO:0051273,GO:0051274,GO:0051301,GO:0052546,GO:0061640,GO:0071554,GO:0071555,GO:0071669,GO:0071704,GO:0071840,GO:0071944,GO:1901576,GO:1902494,GO:1903047,GO:1990234	Belongs to the glycosyltransferase 2 family. Plant cellulose synthase subfamily	Belongs to the glycosyltransferase 2 family. Plant cellulose synthase subfamily
Cluster-2.59013	Cluster-3554.14386	-10.5802147799624	None	None	None	None
Cluster-2.53656	Cluster-3554.26409	-4.65297965865511	GO:0016021, GO:0005471, GO:0005524, GO:0015866, GO:0015867	GO:0016021, GO:0031969, GO:0005471, GO:0005524, GO:0015866, GO:0015867	Putative ADP/ATP carrier protein	Putative ADP/ATP carrier protein
Cluster-2.39676	Cluster-3554.35157	-6.64006699083699	None	None	Elongation factor	Elongation factor
Cluster-2.48315	Cluster-3554.19967	-6.25563191909167	None	None	None	Putative stress up-regulated Nod 19
Cluster-2.38533	Cluster-9979.0	4.29431264001745	None	GO:0005634, GO:0004842, GO:0008270, GO:0016874, GO:0006511, GO:0007275, GO:0016567	60S ribosomal protein	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
